,Title,Release Year,RT_score,URL,Director,Cast,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,audience_score,number_audience_reviews,Rerelease Date (Theaters)
21,Love Lies Bleeding,2024,94%,https://www.rottentomatoes.com/m/love_lies_bleeding_2024,Rose Glass,"Anna Baryshnikov,Kristen Stewart,Dave Franco,Katy M. O'Brian",Rose Glass,"Andrea Cornwell,Oliver Kassman","Rose Glass,Weronika Tofilska",A24,"A24,Film4,Escape Plan Productions,Lobo Films",R (Grisly Images|Drug Use|Violence|Language Throughout|Nudity|Sexual Content),"Mystery & Thriller,Crime,Drama,LGBTQ+,Action",English,"Mar 15, 2024, Wide","Apr 26, 2024",$7.7M,1h 44m,,Digital 2.39:1,82%,250+ Verified Ratings,
22,Everything Everywhere All at Once,2022,93%,https://www.rottentomatoes.com/m/everything_everywhere_all_at_once,Dan Kwan,"Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,James Hong","Dan Kwan,Daniel Scheinert","Joe Russo,Anthony Russo,Mike Larocca,Dan Kwan,Daniel Scheinert,Jonathan Wang","Dan Kwan,Daniel Scheinert",A24,"Ley Line Entertainment,IAC Films,AGBO",R (Sexual Material|Language|Some Violence),"Comedy,Adventure,Sci-Fi,Fantasy",English,"Apr 8, 2022, Wide","Jun 7, 2022",$76.7M,2h 12m,"Stereo,Dolby Digital,Dolby Atmos",Flat (1.85:1),86%,"5,000+ Verified Ratings","Aug 28, 2024"
23,The Zone of Interest,2023,93%,https://www.rottentomatoes.com/m/the_zone_of_interest,Jonathan Glazer,"Christian Friedel,Sandra Hüller,Medusa Knopf,Daniel Holzberg",Jonathan Glazer,"James Wilson,Ewa Puszczynska,Jim Wilson",Jonathan Glazer,A24,"A24,Access Entertainment,Film4,JW Films,Extreme Emotions",PG-13 (Some Suggestive Material|Smoking|Thematic Material),"History,Drama,War",German,"Dec 15, 2023, Limited","Feb 20, 2024",$7.7M,1h 46m,Dolby Digital,,78%,250+ Verified Ratings,
24,Room,2015,93%,https://www.rottentomatoes.com/m/room_2015,Lenny Abrahamson,"Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers",Lenny Abrahamson,"Ed Guiney,David Gross",Emma Donoghue,A24,"No Trace Camping,Element Pictures",R (Language),Drama,English,"Jan 22, 2016, Wide","May 22, 2016",$14.7M,1h 58m,Dolby Digital,,93%,"50,000+ Ratings",
25,The Last Black Man in San Francisco,2019,93%,https://www.rottentomatoes.com/m/the_last_black_man_in_san_francisco,Joe Talbot,"Jimmie Fails,Jonathan Majors,Rob Morgan,Tichina Arnold",Joe Talbot,"Dede Gardner,Jeremy Kleiner,Christina Oh,Joe Talbot","Joe Talbot,Rob Richert",A24,"A24,Plan B Entertainment",R (Language|Drug Use|Brief Nudity),Drama,English,"Jun 7, 2019, Limited","Aug 13, 2019",$4.5M,2h 1m,Dolby Digital,,84%,500+ Verified Ratings,
26,Pearl,2022,93%,https://www.rottentomatoes.com/m/pearl_2022,Ti West,"Mia Goth,David Corenswet,Tandi Wright,Matthew Sunderland",Ti West,"Jacob Jaffke,Harrison Kreiss,Kevin Turen,Ti West","Ti West,Mia Goth",A24,"Universal Studios Inc.,A24,BRON Creative,Little Lamb",R,"Horror,Mystery & Thriller,Comedy",English,"Sep 16, 2022, Wide","Oct 25, 2022",$8.2M,1h 42m,Dolby Atmos,Scope (2.35:1),83%,500+ Verified Ratings,
27,Ex Machina,2014,92%,https://www.rottentomatoes.com/m/ex_machina,Alex Garland,"Domhnall Gleeson,Oscar Isaac,Alicia Vikander,Sonoya Mizuno",Alex Garland,"Andrew Macdonald,Allon Reich",Alex Garland,A24,DNA Films,R (Language|Graphic Nudity|Sexual References|Some Violence),"Sci-Fi,Mystery & Thriller,Drama",English,"Apr 24, 2015, Wide","Jun 28, 2016",$25.4M,1h 48m,"SDDS,Dolby Digital,Datasat",Scope (2.35:1),86%,"50,000+ Ratings",
28,Saint Maud,2019,92%,https://www.rottentomatoes.com/m/saint_maud,Rose Glass,"Morfydd Clark,Jennifer Ehle,Lily Frazer,Lily Knight",Rose Glass,"Oliver Kassman,Andrea Cornwell",Rose Glass,A24,Film4,R (Language|Disturbing and Violent Content|Sexual Content),Horror,English,"Jan 29, 2021, Limited","Feb 12, 2021",,1h 24m,,Scope (2.35:1),67%,500+ Ratings,
29,The Humans,2021,92%,https://www.rottentomatoes.com/m/the_humans,Stephen Karam,"Richard Jenkins,Amy Schumer,Steven Yeun,Jayne Houdyshell",Stephen Karam,"Stephen Karam,Louise Lovegrove",Stephen Karam,A24,A24,R (Some Sexual Material|Language),"Holiday,Comedy,Drama",English,"Nov 24, 2021, Limited","Nov 24, 2021",,1h 48m,,Flat (1.85:1),45%,250+ Ratings,
30,The End of the Tour,2015,92%,https://www.rottentomatoes.com/m/the_end_of_the_tour_2015,James Ponsoldt,"Jesse Eisenberg,Jason Segel,Becky Ann Baker,Anna Chlumsky",James Ponsoldt,"David Kanter,Matt DeRoss,James Dahl,Mark C. Manuel,Ted O'Neal",Donald Margulies,A24,Anonymous Content,R (Some Sexual References|Language),Drama,English,"Jul 31, 2015, Limited","Aug 15, 2016",$3.0M,1h 46m,Dolby Digital,,82%,"10,000+ Ratings",
