Title,Release Year,RT_score,URL,Director,Cast
Waves,2019,84%,https://www.rottentomatoes.com/m/waves_2019,Trey Edward Shults,"Kelvin Harrison Jr.,Taylor Russell,Sterling K. Brown,Lucas Hedges"
While We're Young,2014,84%,https://www.rottentomatoes.com/m/while_were_young,Noah Baumbach,"Ben Stiller,Naomi Watts,Adam Driver,Amanda Seyfried"
Oasis: Supersonic,2016,84%,https://www.rottentomatoes.com/m/oasis_supersonic,Mat Whitecross,"Noel Gallagher,Liam Gallagher,Paul Arthurs,Mark Coyle"
Midsommar,2019,83%,https://www.rottentomatoes.com/m/midsommar,Ari Aster,"Florence Pugh,Jack Reynor,William Jackson Harper,Will Poulter"
The Hole in the Ground,2019,83%,https://www.rottentomatoes.com/m/the_hole_in_the_ground,Lee Cronin,"Seána Kerslake,James Quinn Markey,James Cosmo,Kati Outinen"
Civil War,2024,81%,https://www.rottentomatoes.com/m/civil_war_2024,Alex Garland,"Kirsten Dunst,Wagner Moura,Cailee Spaeny,Stephen Henderson"
High Life,2018,82%,https://www.rottentomatoes.com/m/high_life_2019,Claire Denis,"Robert Pattinson,Juliette Binoche,André Benjamin,Mia Goth"
The Lovers,2017,82%,https://www.rottentomatoes.com/m/the_lovers_2017,Azazel Jacobs,"Debra Winger,Tracy Letts,Melora Walters,Aidan Gillen"
Funny Pages,2022,82%,https://www.rottentomatoes.com/m/funny_pages,Owen Kline,"Daniel Zolghadri,Matt Maher,Miles Emanuel,Maria Dizzia"
Mid90s,2018,81%,https://www.rottentomatoes.com/m/mid90s,Jonah Hill,"Sunny Suljic,Lucas Hedges,Na-kel Smith,Gio Galicia"
American Honey,2016,80%,https://www.rottentomatoes.com/m/american_honey,Andrea Arnold,"Sasha Lane,Riley Keough,Shia LaBeouf,McCaul Lombardi"
The Killing of a Sacred Deer,2017,79%,https://www.rottentomatoes.com/m/the_killing_of_a_sacred_deer,Yorgos Lanthimos,"Bill Camp,Raffey Cassidy,Denise Dal Vera,Colin Farrell"
