,Title,Release Year,Rating,URL,Director,Cast,Audience Score,Genre,Duration,Box Office,Production Co
43,A Ghost Story,2017,R (Brief Language|A Disturbing Image),https://www.rottentomatoes.com/m/a_ghost_story,David Lowery,"Casey Affleck,Rooney Mara,Kenneisha Thompson,Grover Coulson",67,Drama/Fantasy,1h30m,$1.6M,Scared Sheetless
44,The Souvenir Part II,2021,,https://www.rottentomatoes.com/m/the_souvenir_part_ii,Joanna Hogg,"Honor Swinton Byrne,Jaygann Ayeh,Tilda Swinton,Richard Ayoade",,,,,
45,The Lighthouse,2019,R (Nudity|Disturbing Images|Sexual Content|Some Language|Violence),https://www.rottentomatoes.com/m/the_lighthouse_2019,Robert Eggers,"Robert Pattinson,Willem Dafoe,Valeriia Karaman,Logan Hawkes",72,Mystery&thriller/Drama,1h50m,$10.9M,"Harbor Picture Company, 
                            
                            A24, 
                            
                            Topsail Entertainment, 
                            
                            RT Features"
46,The Witch,2015,R (Graphic Nudity|Disturbing Violent Content),https://www.rottentomatoes.com/m/the_witch_2016,Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw",60,Horror/History,1h32m,$25.1M,
47,Green Room,2015,R (Language|Gory Images|Some Drug Content|Strong Brutal Graphic Violence),https://www.rottentomatoes.com/m/green_room_2016,Jeremy Saulnier,"Anton Yelchin,Imogen Poots,Alia Shawkat,Joe Cole",75,Mystery&thriller/Horror,1h34m,$3.2M,"Broad Green Pictures, 
                            
                            Filmscience"
48,A Most Violent Year,2014,R (Some Violence|Language),https://www.rottentomatoes.com/m/a_most_violent_year,J.C. Chandor,"Oscar Isaac,Jessica Chastain,David Oyelowo,Alessandro Nivola",69,Crime/Drama,2h4m,$5.7M,"Before the Door, 
                            
                            Old Bull Pictures, 
                            
                            Washingston Square Films"
49,Red Rocket,2021,R (Graphic Nudity|Drug Use|Pervasive Language|Strong Sexual Content),https://www.rottentomatoes.com/m/red_rocket,Sean Baker,"Simon Rex,Suzanna Son,Bree Elrod,Brenda Deiss",74,Comedy/Drama,2h8m,$825.0K,"Cre Film, 
                            
                            FilmNation Entertainment"
50,Lean on Pete,2017,R (Language and Brief Violence),https://www.rottentomatoes.com/m/lean_on_pete,Andrew Haigh,"Charlie Plummer,Chloë Sevigny,Steve Zahn,Justin Rain",74,Drama,2h2m,$1.2M,The Bureau
51,Obvious Child,2014,R (Sexual Content|Language),https://www.rottentomatoes.com/m/obvious_child,Gillian Robespierre,"Jenny Slate,Jake Lacy,Gaby Hoffmann,Gabe Liedman",72,Comedy,1h23m,$3.1M,"Rooks Nest Entertainment, 
                            
                            Sundial Pictures"
52,Hereditary,2018,R (Disturbing Images|Brief Graphic Nudity|Drug Use|Horror Violence|Language),https://www.rottentomatoes.com/m/hereditary,Ari Aster,"Toni Collette,Gabriel Byrne,Alex Wolff,Ann Dowd",70,Horror/Mystery&thriller,2h7m,$44.1M,PalmStar Media
53,After Yang,2021,PG (Some Thematic Elements|Language),https://www.rottentomatoes.com/m/after_yang,Kogonada,"Colin Farrell,Jodie Turner-Smith,Justin H. Min,Malea Emma Tjandrawidjaja",69,Sci-fi/Drama,1h41m,,"A24, 
                            
                            Per Capita Productions, 
                            
                            Cinereach"
54,The Souvenir,2019,R (Language|Graphic Nudity|Drug Material|Some Sexuality),https://www.rottentomatoes.com/m/the_souvenir,Joanna Hogg,"Honor Swinton Byrne,Tom Burke,Tilda Swinton,Richard Ayoade",36,Romance/Drama,1h59m,$1.0M,"BBC Films, 
                            
                            BFI Film Fund, 
                            
                            Sikelia Productions"
55,God's Creatures,2022,R (Language),https://www.rottentomatoes.com/m/gods_creatures,Saela Davis,"Emily Watson,Paul Mescal,Aisling Franciosi,Declan Conlon",57,Mystery&thriller/Drama,1h40m,,"Screen Ireland, 
                            
                            Nine Daughters, 
                            
                            BBC Film, 
                            
                            A24, 
                            
                            WRAP Fund"
56,All Dirt Roads Taste of Salt,2023,PG (Brief Sensuality|Thematic Content),https://www.rottentomatoes.com/m/all_dirt_roads_taste_of_salt,Raven Jackson,"Charleen McClure,Moses Ingram,Kaylee Nicole Johnson,Reginald Helms Jr.",60,Drama,1h32m,,"A24, 
                            
                            Pastel"
57,The Green Knight,2021,R (Some Sexuality|Graphic Nudity|Violence),https://www.rottentomatoes.com/m/the_green_knight,David Lowery,"Dev Patel,Alicia Vikander,Joel Edgerton,Sarita Choudhury",50,Fantasy/Adventure,2h5m,$17.0M,"Wild Atlantic Pictures, 
                            
                            Sailor Bear, 
                            
                            A24, 
                            
                            BRON Creative, 
                            
                            Ley Line Entertainment, 
                            
                            Creative Wealth Media Finance"
58,The Inspection,2022,R (Sexual Content|Language Throughout|Some Nudity|Violence),https://www.rottentomatoes.com/m/the_inspection,Elegance Bratton,"Jeremy Pope,Raúl Castillo,McCaul Lombardi,Aaron Dominguez",91,Drama/Lgbtq+,1h34m,$261.0K,"Freedom Principle, 
                            
                            Doco Digital, 
                            
                            Gamechanger Films"
59,Zola,2020,R (Graphic Nudity|A Sexual Assault|Language Throughout|Strong Sexual Content|Violence),https://www.rottentomatoes.com/m/zola,Janicza Bravo,"Taylour Paige,Riley Keough,Nicholas Braun,Colman Domingo",68,Comedy/Mystery&thriller,1h27m,,"Killer Films, 
                            
                            Ramona Films, 
                            
                            Gigi Films"
